,iter,f_sol
0,1.0,605.0
1,2.0,605.0
2,3.0,556.0
3,4.0,556.0
4,5.0,554.0
5,6.0,505.0
6,7.0,505.0
7,8.0,466.0
8,9.0,466.0
9,10.0,466.0
10,11.0,466.0
11,12.0,466.0
12,13.0,466.0
13,14.0,466.0
14,15.0,466.0
15,16.0,466.0
16,17.0,466.0
17,18.0,466.0
18,19.0,466.0
19,20.0,466.0
20,21.0,466.0
21,22.0,466.0
22,23.0,466.0
23,24.0,417.0
24,25.0,417.0
25,26.0,417.0
26,27.0,369.0
27,28.0,327.0
28,29.0,327.0
29,30.0,327.0
30,31.0,327.0
31,32.0,327.0
32,33.0,327.0
33,34.0,327.0
34,35.0,327.0
35,36.0,327.0
36,37.0,327.0
37,38.0,327.0
38,39.0,327.0
39,40.0,327.0
40,41.0,327.0
41,42.0,327.0
42,43.0,327.0
43,44.0,327.0
44,45.0,327.0
45,46.0,327.0
46,47.0,327.0
47,48.0,327.0
48,49.0,327.0
49,50.0,327.0
50,51.0,327.0
51,52.0,327.0
52,53.0,327.0
53,54.0,327.0
54,55.0,327.0
55,56.0,327.0
56,57.0,327.0
57,58.0,327.0
58,59.0,327.0
59,60.0,327.0
60,61.0,327.0
61,62.0,327.0
62,63.0,327.0
63,64.0,327.0
64,65.0,327.0
65,66.0,327.0
66,67.0,327.0
67,68.0,327.0
68,69.0,327.0
69,70.0,327.0
70,71.0,327.0
71,72.0,327.0
72,73.0,327.0
73,74.0,327.0
74,75.0,327.0
75,76.0,229.0
76,77.0,229.0
77,78.0,138.0
78,79.0,138.0
79,80.0,138.0
80,81.0,138.0
81,82.0,138.0
82,83.0,138.0
83,84.0,138.0
84,85.0,138.0
85,86.0,138.0
86,87.0,127.0
87,88.0,127.0
88,89.0,127.0
89,90.0,127.0
90,91.0,127.0
91,92.0,127.0
92,93.0,127.0
93,94.0,127.0
94,95.0,127.0
95,96.0,127.0
96,97.0,80.0
97,98.0,80.0
98,99.0,80.0
99,100.0,80.0
100,101.0,80.0
101,102.0,80.0
102,103.0,80.0
103,104.0,80.0
104,105.0,80.0
105,106.0,80.0
106,107.0,80.0
107,108.0,80.0
108,109.0,80.0
109,110.0,80.0
110,111.0,80.0
111,112.0,80.0
112,113.0,80.0
113,114.0,80.0
114,115.0,80.0
115,116.0,80.0
116,117.0,80.0
117,118.0,80.0
118,119.0,80.0
119,120.0,80.0
120,121.0,80.0
121,122.0,80.0
122,123.0,80.0
123,124.0,80.0
124,125.0,80.0
125,126.0,74.0
126,127.0,74.0
127,128.0,74.0
128,129.0,74.0
129,130.0,74.0
130,131.0,74.0
131,132.0,74.0
132,133.0,74.0
133,134.0,74.0
134,135.0,74.0
135,136.0,74.0
136,137.0,74.0
137,138.0,74.0
138,139.0,68.0
139,140.0,68.0
140,141.0,68.0
141,142.0,68.0
142,143.0,68.0
143,144.0,68.0
144,145.0,19.0
145,146.0,19.0
146,147.0,19.0
147,148.0,19.0
148,149.0,19.0
149,150.0,19.0
150,151.0,19.0
151,152.0,19.0
152,153.0,19.0
153,154.0,19.0
154,155.0,19.0
155,156.0,19.0
156,157.0,19.0
157,158.0,19.0
158,159.0,19.0
159,160.0,19.0
160,161.0,19.0
161,162.0,19.0
162,163.0,19.0
163,164.0,19.0
164,165.0,19.0
165,166.0,19.0
166,167.0,19.0
167,168.0,19.0
168,169.0,19.0
169,170.0,19.0
170,171.0,19.0
171,172.0,19.0
172,173.0,19.0
173,174.0,19.0
174,175.0,19.0
175,176.0,19.0
176,177.0,19.0
177,178.0,19.0
178,179.0,19.0
179,180.0,19.0
180,181.0,19.0
181,182.0,19.0
182,183.0,19.0
183,184.0,19.0
184,185.0,19.0
185,186.0,19.0
186,187.0,19.0
187,188.0,19.0
188,189.0,19.0
189,190.0,19.0
190,191.0,19.0
191,192.0,19.0
192,193.0,19.0
193,194.0,19.0
194,195.0,19.0
195,196.0,19.0
196,197.0,19.0
197,198.0,19.0
198,199.0,19.0
199,200.0,19.0
200,201.0,19.0
201,202.0,19.0
202,203.0,19.0
203,204.0,19.0
204,205.0,19.0
205,206.0,19.0
206,207.0,19.0
207,208.0,19.0
208,209.0,19.0
209,210.0,19.0
210,211.0,19.0
211,212.0,19.0
212,213.0,19.0
213,214.0,19.0
214,215.0,19.0
215,216.0,19.0
216,217.0,19.0
217,218.0,19.0
218,219.0,19.0
219,220.0,19.0
220,221.0,19.0
221,222.0,19.0
222,223.0,19.0
223,224.0,19.0
224,225.0,19.0
225,226.0,19.0
226,227.0,19.0
227,228.0,19.0
228,229.0,19.0
229,230.0,19.0
230,231.0,19.0
231,232.0,19.0
232,233.0,19.0
233,234.0,19.0
234,235.0,18.0
235,236.0,18.0
236,237.0,18.0
237,238.0,18.0
238,239.0,18.0
239,240.0,18.0
240,241.0,18.0
241,242.0,18.0
242,243.0,18.0
243,244.0,18.0
244,245.0,18.0
245,246.0,18.0
246,247.0,18.0
247,248.0,18.0
248,249.0,18.0
249,250.0,18.0
250,251.0,18.0
251,252.0,18.0
252,253.0,18.0
253,254.0,18.0
254,255.0,18.0
255,256.0,18.0
256,257.0,18.0
257,258.0,18.0
258,259.0,18.0
259,260.0,18.0
260,261.0,18.0
261,262.0,18.0
262,263.0,18.0
263,264.0,18.0
264,265.0,18.0
